name,price
"Redmi 15C By Xiaomi, 6.9"", 8GB RAM + 256GB, 6000mAh (Dual SIM) - Black (1 YR WRTY)+ LED Watch+ EarPods+ Cable+ Card Reader+ Power bank","KSh 18,199"
"Infinix Hot 60i'6.7 Inches,8GB RAM+256GB ROM"" 50 MP' Dual SIM'5160 MAh Battery., SMART WATCH, NECK BUDS, SILVER","KSh 16,999"
"Safaricom Neon Smarta 2, IPS LCD Display, 5"", 32GB ROM + 2GB RAM (Dual SIM), 3300mAh - Black + LED Watcg","KSh 2,799"
"Redmi 15C By Xiaomi Smartphone, 6.9"", 8GB RAM+ 256GB (Dual SIM), 6000mAh, 1 YEAR WARRANTY - Black","KSh 16,999"
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM (UPTO 8GB Extended) + 128GB (Dual SIM), 6000mAh - Blue (1 YR WRTY)","KSh 13,999"
"Samsung GALAXY A17, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh WATCH ADAPTER, BLACK","KSh 19,599"
"Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 17,420"
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM +128GB, 6000mAh WITH FREE GIFTS ( AIRPODS + LED WATCH +POWERBANK ) - Black","KSh 14,450"
"Redmi Note 15 By Xiaomi, 6.77"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)","KSh 28,060"
"Samsung Galaxy A07, 128GB + 4GB RAM (Dual Sim) 50MP Camera, 5000mAh Battery -BLACK","KSh 14,290"
"Samsung Galaxy A16, 4GB+128GB ROM 6.7"" HD, Android 14,50MP-Camera, Battery-5000mah, BLACK EARBUDS, ADPTER, PHONE COVER, BLACK","KSh 17,550"
"Infinix Hot 60i'6.7 Inches,6GB RAM+128GB ROM""Dual SIM'5000 MAh Battery+WATHC EARBUDS COVER BLACK","KSh 14,599"
"XIAOMI Redmi 15 4G, 6GB RAM + 128GB, 7000mAh, Black (2YRs WRTY)","KSh 17,400"
"Infinix Hot 60i 4G, 6.7"", 8GB RAM, 256GB, 5160mAh, Silver (1YR WRTY)","KSh 16,570"
"OPPO A3s Purple 6.2"" 4+64G 13MP+2MP 4230mAh","KSh 6,700"
"Samsung GALAXY A17, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue","KSh 18,999"
"XIAOMI Redmi Note 15 Pro, 6.77"", 8GB RAM + 256GB (Dual SIM), 6500mAh, Black (25 Months Warranty) + Free Buds 6 Play","KSh 35,716"
"Samsung GALAXY A17 5G, 6.7'' HD+, 8GB RAM + 256GB ROM, DUAL SIM, 50MP, 5000mAh (Black)","KSh 28,059"
"Samsung A07 DISPLAY 6.7 INCHES 4GB RAM + 64GB ROM DUAL SIM cover ADAPTER, BLACK","KSh 12,499"
"Oppo A6x,6.75"" 4GB RAM+256GB ROM, Snapdragon® 685 4G,120Hz, 6500mAh (Dual Sim) Ice Blue (2YRs WRTY)","KSh 18,749"
"Oppo A6x,6.75"" 4GB+64GB, Snapdragon® 685 4G,120Hz, 6100mAh (Dual Sim) (2YRs WRTY)","KSh 13,109"
"OPPO A31 Black 6.5"" 6+128G 12MP+2MP+2MP 4230mAh Fingerprint","KSh 8,500"
Infinix Smart 10 - 6.67”- 128GB ROM- 4+4GB RAM-8MP /8MP -5000mAh - Black,"KSh 12,299"
"Infinix Hot 60i 4G"" 6.7-inch, 4GB RAM + 128GB ROM, 50MP Camera, Battery: 5160mAh, 45W Fastcharge - Sleek Black","KSh 13,899"
"Infinix Hot 60i 4G""6.7-inch, 8GBRAM+256GB ROM' Battery: 5160mAh -BLACK","KSh 17,599"
"Samsung GALAXY A17, 6.7'' HD+, 6GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh SPORT","KSh 20,999"
"Samsung Galaxy A56 5G, 6.7"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Awesome Graphite","KSh 53,600"
"V.POLO POWER70 6.6 inch phone, black, 4GB Ram 64GB Rom storage dual camera with fingerprint 5000mAh battery .dual SIM dual standby","KSh 7,914"
Oppo A31 6GB RAM+128G ROM Refurbished 6.5 Inch Screen HD Camera 12MP -Red,"KSh 9,099"
"OPPO A73 Purple 6.5"" 8+128G 16MP+8MP 5000mAh FastCharge","KSh 11,901"
Oppo A31 6GB RAM+128G ROM 6.5 Inch Screen HD Camera 12MP 4230 mAh smartphone-Black,"KSh 9,099"
